,word,category,percent
771,iditunesappst,Entertainment,1.0
772,rubios,Food and Beverages,1.0
773,conserv,Automotive,0.92
774,gyro,Food and Beverages,0.98
775,acropro,General Merchandise,0.95
776,barbecue,Food and Beverages,1.0
777,roast,Food and Beverages,0.96
778,slice,Food and Beverages,0.95
779,cmsvendprestige,Food and Beverages,1.0
780,fazolis,Food and Beverages,1.0
781,vieca,General Merchandise,0.95
782,pbc,Food and Beverages,0.96
783,hulucombilca,Entertainment,1.0
784,cigarette,General Merchandise,1.0
785,supportgoogl,General Merchandise,0.95
786,supermarke,Groceries,0.9
787,chickens,Food and Beverages,1.0
788,slingcom,Entertainment,1.0
789,hxsollacom,General Merchandise,0.98
790,breakfast,Food and Beverages,0.97
791,doordashsubway,Food and Beverages,1.0
792,healthcare,Healthcare/Medical,0.96
793,wixcom,General Merchandise,1.0
794,gelsons,Groceries,1.0
795,julians,Food and Beverages,1.0
796,maxoffi,General Merchandise,1.0
797,ritas,Food and Beverages,0.93
798,whiskey,Food and Beverages,0.9
799,youtubepre,General Merchandise,1.0
800,robertos,Food and Beverages,1.0
801,acevn,Food and Beverages,1.0
802,mht,General Merchandise,0.95
803,microsoftmicrosoft,General Merchandise,1.0
804,netflixc,Entertainment,1.0
805,patient,Healthcare/Medical,0.98
806,cocina,Food and Beverages,1.0
807,hunan,Food and Beverages,1.0
808,amoco,Automotive,0.99
809,connect,Food and Beverages,0.9
810,helpub,Travel,0.95
811,gasoline,Automotive,0.94
812,topgolf,Entertainment,0.94
813,installments,General Merchandise,1.0
814,vudu,Entertainment,0.94
815,hls,General Merchandise,0.95
816,mandarin,Food and Beverages,0.95
817,ichiban,Food and Beverages,1.0
818,memouber,Travel,0.95
819,samsungelectronics,General Merchandise,1.0
820,dropbox,General Merchandise,1.0
821,jpay,General Merchandise,1.0
822,saigon,Food and Beverages,0.9
823,wwwdoordashcaus,Food and Beverages,0.97
824,bpck,Automotive,0.98
825,mexic,Food and Beverages,0.9
826,imperfect,Groceries,0.97
