,word,category,percent
513,samsclubcom,General Merchandise,0.95
514,raleys,Groceries,0.91
515,closet,General Merchandise,0.92
516,savealot,Groceries,1.0
517,lidl,Groceries,0.97
518,stitch,General Merchandise,0.97
519,movers,General Merchandise,1.0
520,httpsinstacarca,Groceries,0.98
521,payfbcom,Food and Beverages,0.97
522,njt,Travel,0.92
523,einstein,Food and Beverages,0.95
524,bollinger,Automotive,0.95
525,eatery,Food and Beverages,0.97
526,portillos,Food and Beverages,0.96
527,zipcar,Travel,1.0
528,expediacom,Travel,1.0
529,oldn,General Merchandise,0.96
530,12am,Travel,0.91
531,gcowalleth,General Merchandise,1.0
532,orderwishcom,General Merchandise,1.0
533,chevrongm,Automotive,1.0
534,raley,Groceries,0.92
535,5avi,Food and Beverages,0.96
536,steakhouse,Food and Beverages,0.97
537,howies,Food and Beverages,0.97
538,salad,Food and Beverages,0.91
539,usausacanteen,Food and Beverages,1.0
540,pretzels,Food and Beverages,0.98
541,wetzels,Food and Beverages,0.94
542,youtubepremium,General Merchandise,1.0
543,cancel,Travel,0.97
544,shipley,Food and Beverages,0.96
545,zulily,General Merchandise,1.0
546,electronics,General Merchandise,0.99
547,stardust,Entertainment,0.96
548,staterbro,Groceries,0.91
549,cookies,Food and Beverages,1.0
550,storecard,General Merchandise,0.93
551,helpuberc,Travel,0.95
552,bww,Food and Beverages,0.97
553,scooters,Food and Beverages,0.92
554,helppayca,General Merchandise,0.97
555,helpubercomcaus,Travel,0.94
556,envy,General Merchandise,0.99
557,rides,Travel,0.96
558,ticket,Entertainment,0.92
559,adblcobill,General Merchandise,0.94
560,ppdoordash,Food and Beverages,0.97
561,platos,General Merchandise,0.97
562,fried,Food and Beverages,0.97
563,korean,Food and Beverages,0.97
564,petrol,Automotive,0.96
565,idgoogle,General Merchandise,0.91
566,cmsvend,Food and Beverages,0.96
567,sarku,Food and Beverages,0.99
568,doordashthe,Food and Beverages,0.99
569,cajun,Food and Beverages,0.94
570,veterinary,Pets/Pet Care,0.91
571,amznc,General Merchandise,0.98
572,sxmsiriusxmcom,Entertainment,1.0
573,sbarro,Food and Beverages,1.0
574,grubhubfood,Food and Beverages,1.0
575,transferred,General Merchandise,1.0
576,journeys,General Merchandise,1.0
577,harkins,Entertainment,0.9
578,ebayincship,General Merchandise,0.97
579,cof,Food and Beverages,0.97
580,pendinguber,Travel,1.0
581,wienerschnitzel,Food and Beverages,0.98
582,chickfil,Food and Beverages,1.0
583,mcd,Food and Beverages,0.99
584,chevronterrible,Automotive,1.0
585,foodtown,Groceries,1.0
586,foodland,Groceries,1.0
587,grubhub,Food and Beverages,0.97
